,id,name,category,phone,address,latitude,longitude,services,priceRange_m,review_m,michelinType
0,1213126,면서울,국수,0507-1449-8878,"강남구 선릉로 805, Seoul, 06019, 대한민국",37.52416,127.03906,"['발렛파킹', '에어컨']",₩,"김도윤 셰프가 윤서울에 이어 두 번째로 문을 연 공간이다. 윤서울에서 선보였던 자가 제면 요리를 따로 판매해 달라는 요청에 따라 오픈한 곳이다. 화학 첨가물 없이 통밀과 녹두, 백태만으로 면을 뽑는데 최적의 조합을 위해 국내산과 프랑스산, 터키산 통밀을 섞어 사용한다. 신선하고 고소한 면의 맛을 오롯이 느낄 수 있는 들기름면 외에 알싸한 양념의 비빔면, 고사리와 들깨로 맛을 낸 고사리면도 일품이다. 반주로 판매하는 전통주도 한 잔 곁들이기를 추천한다.",plate
1,1213070,니시무라멘,라멘,010-9596-1122,"서울 마포구 동교로 265, 4층, Seoul, 03983, 대한민국",37.56337,126.92526,"['에어컨', '카운터 테이블']",₩,"후쿠오카의 흥미로운 프렌치 레스토랑을 운영하는 니시무라 타카히토 셰프의 라멘 식당이 서울에 문을 열었다. 니시무라멘 서울은 니시무라 타카히토 셰프의 남다른 라멘 사랑의 결과물이다. 토핑과 소스, 오일 등을 곁들여 완성한 풍성하고 입체적인 라멘 맛에서 셰프의 독특한 스타일을 엿볼 수 있다. 라멘 고유의 스타일을 유지하면서도 김 오일과 청양고추, 백김치 스타일의 쯔께모노를 활용하는 등 현지화에도 신경을 많이 썼다. 갓 지은 솥밥에 치즈와 라멘 국물을 함께 즐길 수 있는 밥 요리도 니시무라멘의 개성이 느껴지는 메뉴이다.",plate
2,1212873,가겐,일식,02-542-0176,"강남구 압구정로 80길 19-1, 2층, Seoul, 06015, 대한민국",37.52451,127.04523,"['발렛파킹', '에어컨', '카운터 테이블']",₩₩₩₩,"'가겐'이라는 상호는 최현아, 원진희 부부의 이름에서 각각 '아(雅)'와 '원(元)'을 조합해 일본어로 표기한 것이다. 원진희 셰프는 '쿠로기'에서, 최현아 셰프는 '칸다'에서 경력을 쌓았다. 가겐의 요리는 일식 특유의 계절감을 뚜렷이 느낄 수 있다는 점이 특징이다. 쿠로기에서 전수한 소면, 볶은 깨를 바로 빻아 향이 풍부한 깨 무침, 고사리 전분으로 만든 와라비 모치처럼 흔치 않은 요리들이 오감을 즐겁게 한다. 셰프의 자세한 설명이 음식에 대한 이해를 돕고 따뜻한 접객 서비스는 식사의 즐거움을 더한다.",plate
3,1213280,리알토,이탤리언,02-544-4761,"강남구 삼성로149길 13, 2층, Seoul, 06063, 대한민국",37.52318,127.04655,"['발렛파킹', '에어컨', '카운터 테이블']",₩₩,안티파스티를 단출하게 제공하고 프리미에 집중하는 메뉴 구성은 최근 몇 년 새 서울의 이탈리안 다이닝을 특징짓는 트렌드이다. 이곳 역시 메뉴 구성은 간소하지만 '리알토(Rialto)'라는 상호에 담고자 한 셰프의 요리 철학에 그만의 감각과 스타일이 합쳐져 이곳만의 독특한 요리를 경험할 수 있다. 특히 버터와 치즈의 절묘한 조화가 깊은 맛을 자아내는 따야린과 카치오 에 페페가 일품이다. 다양하게 준비된 다른 파스타 메뉴들도 소스의 밸런스가 훌륭하다. 알타리무 피클 역시 추억의 맛을 소환하는 리알토만의 비장의 무기이다.,plate
4,1213274,주052,한식,02-2281-0343,"성동구 고산자로 14길 26, Seoul, 04750, 대한민국",37.56344,127.03766,"['에어컨', '좋은 사케 리스트', '카운터 테이블']",₩₩,'주052'라는 상호는 술 '주(酒)'에 셰프들의 출신지 지역번호 '052'를 조합해 만들었다. 한식 요리 주점 주052는 범상치 않은 상호만큼이나 재미 있는 아이디어가 돋보이는 요리를 선보인다. 두 명의 셰프는 한식의 밑바탕을 이루는 '장'과 '발효 기법'을 활용하여 개성 넘치는 한식 요리를 제공한다. 이름만 들으면 익숙한 요리들이지만 직접 맛을 보면 메뉴 하나하나에서 남다른 정성과 맛이 느껴진다. 또한 요리들 간에 맛의 궁합도 좋아 여러 메뉴를 함께 즐기기에도 안성맞춤이다. 한식과 한국 술의 절묘한 조화를 경험하기에 더없이 좋은 곳이다.,plate
5,1213112,에스콘디도,멕시칸,02-2038-8994,"용산구 한남대로 20길 61-7, 지하 1층, Seoul, 04419, 대한민국",37.53517,127.01046,"['발렛파킹', '에어컨', '카운터 테이블']",₩₩₩,진우범 셰프의 에스콘디도는 멕시칸 퀴진에 대한 셰프의 열정을 제대로 느낄 수 있는 곳이다. 진 셰프는 멕시칸 요리에 매료되어 멕시코로 건너갔고 요리와 문화를 배우며 차곡차곡 실력을 쌓았다. 그는 에스콘디도에서 정통 멕시칸 요리를 바탕으로 자신만의 스타일을 추구한다. 또한 어떤 요리이든 기본이 되는 토르티야와 몰레의 특성을 잘 살림으로써 미묘한 맛의 차이를 느끼게 한다. 에스콘디도의 요리와 함께 테킬라와 메즈칼 페어링이나 칵테일 페어링을 곁들이면 더욱 깊이 있는 맛을 느낄 수 있으니 꼭 경험해 보시기를 추천한다.,plate
6,1212812,산로,일식,050-6465-6292,"강남구 도산대로 518, 2층, Seoul, 06070, 대한민국",37.52417,127.04978,"['발렛파킹', '에어컨', '좋은 사케 리스트', '카운터 테이블']",₩₩₩₩,유성엽 셰프는 일식 요리사로서 체득한 조리 기술과 전통 일본 요리의 가치를 산로에서 구현하고 있다. 입구에 걸린 '산로(三露)'라고 적힌 족자는 손님맞이가 끝나면 입구에 물을 세 번 뿌리는 일본의 문화를 표현한 것이다. 공간 이곳저곳을 채우고 있는 섬세하고 세련된 작품들은 유성엽 셰프가 이 공간과 자신의 요리를 통해 전하고자 하는 분위기와 감성이 무엇인지를 잘 보여준다. 요리를 대하는 셰프의 마음과 세심한 조리 기술은 계절의 향을 담은 식재료와 만나 요리를 통해 맛으로 구체화된다. 산로는 무엇보다 식사하는 내내 이어지는 섬세한 풍미의 흐름이 압권이다. 단정함과 정갈함에 매력적인 풍미까지 갖춘 셰프의 와쇼쿠 요리만큼이나 접객 서비스 역시 흠잡을 데 없이 뛰어나다.,plate
7,1213578,미필담,만두,010-5455-5041,"마포구 성지 3길 22, Seoul, 04083, 대한민국",37.54658,126.91419,"['에어컨', '카운터 테이블']",₩,한적하지만 동시에 젊음의 생기가 느껴지는 합정동의 어느 골목에 자그마한 이북식 손만둣국집 미필담이 있다. 이곳의 주인인 젊은 부부는 황해도 출신 외할머니의 조리법을 바탕으로 이북식 만둣국의 담백한 맛을 손님상에 올린다. 두툼하고 속이 꽉 찬 손만두에 별다른 가미 없이도 담백한 육향을 자랑하는 국물의 조합은 거부하기 쉽지 않은 맛이다. 담백하고 슴슴한 만둣국 외에 계절에 맞춰 정성껏 선보이는 한식 메뉴에서 주인 부부의 노력이 느껴진다. 좌석 구조상 혼자 식사하기에도 적합하고 친구나 연인과 함께 찾기에도 부족함이 없는 공간이다.,plate
8,1194788,아웃트로 바이 비토,유러피언,051-758-7123,"수영구 민락본동로 19번길 18, Busan, 48087, 대한민국",35.15835,129.12786,['에어컨'],₩₩,해리단길에서 광안리로 이전 오픈한 아웃트로 바이 비토. 달라진 이름처럼 외관과 실내를 현대적이고 세련되게 단장하고 내추럴 와인과 음식을 제공한다. 하지만 그 본질인 파스타 요리는 달라지지 않고 더욱 맛있어졌다. 자가 제면 파스타는 밀가루의 함량을 높여 숙성 후에 뽑아 내는데 차진 식감은 물론 소스와도 잘 어우러져 맛을 배가시킨다. 여러 종류의 파스타 외에도 샐러드나 고기 요리 등 메뉴가 다양하게 준비가 되어 있다. 셰프가 음식에 맞춰 추천하는 내추럴 와인과 함께 세련된 분위기에서 즐겨 보시기를.,plate
9,1194784,오스테리아 어부,이탤리언,051-802-8858,"부산진구 동천로 58, Busan, 47297, 대한민국",35.15394,129.06253,['에어컨'],₩₩,전포동에 위치한 오스테리아 어부. 특이하게 음주 양식당이라는 상호를 내걸고 있는 이곳은 해산물이 풍부한 이탈리아 남부 정통 요리를 추구하는 곳으로 2017년부터 이 자리를 지켜 왔다. 알 덴테로 익힌 파스타에 짭짤하다고 느낄 정도의 간으로 신선한 딱새우를 풍부하게 넣은 비스크 파스타나 새로 추가된 마레(바다) 코스를 맛보는 것도 좋은 선택이 될 것이다. 셰프가 직접 추천하는 와인과 함께 곁들여 보시길. 진한 이탈리아의 맛을 느낄 수 있다.,plate
